"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue"
145,2009,"Durban","2009-05-05","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Rajasthan Royals",78,0,"GC Smith","Kingsmead"
146,2009,"Durban","2009-05-05","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Delhi Daredevils",0,9,"G Gambhir","Kingsmead"
147,2009,"Centurion","2009-05-06","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal",0,"Deccan Chargers",19,0,"RG Sharma","SuperSport Park"
148,2009,"Centurion","2009-05-07","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,7,"A Singh","SuperSport Park"
149,2009,"Centurion","2009-05-07","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",1,"Chennai Super Kings",12,0,"ML Hayden","SuperSport Park"
150,2009,"East London","2009-05-08","Mumbai Indians","Delhi Daredevils","Mumbai Indians","bat","normal",0,"Delhi Daredevils",0,7,"A Nehra","Buffalo Park"
151,2009,"Kimberley","2009-05-09","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,3,"DPMD Jayawardene","De Beers Diamond Oval"
152,2009,"Kimberley","2009-05-09","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,7,"S Badrinath","De Beers Diamond Oval"
153,2009,"Port Elizabeth","2009-05-10","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Mumbai Indians",16,0,"JP Duminy","St George's Park"
154,2009,"Johannesburg","2009-05-10","Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,7,"A Mishra","New Wanderers Stadium"
155,2009,"Kimberley","2009-05-11","Deccan Chargers","Rajasthan Royals","Deccan Chargers","bat","normal",0,"Deccan Chargers",53,0,"DR Smith","De Beers Diamond Oval"
156,2009,"Centurion","2009-05-12","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,6,"LRPL Taylor","SuperSport Park"
157,2009,"Centurion","2009-05-12","Kings XI Punjab","Mumbai Indians","Kings XI Punjab","bat","normal",0,"Mumbai Indians",0,8,"Harbhajan Singh","SuperSport Park"
158,2009,"Durban","2009-05-13","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","normal",0,"Delhi Daredevils",12,0,"R Bhatia","Kingsmead"
159,2009,"Durban","2009-05-14","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Royal Challengers Bangalore",0,2,"LRPL Taylor","Kingsmead"
160,2009,"Durban","2009-05-14","Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",2,0,"SK Warne","Kingsmead"
161,2009,"Bloemfontein","2009-05-15","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"B Lee","OUTsurance Oval"
162,2009,"Port Elizabeth","2009-05-16","Mumbai Indians","Chennai Super Kings","Mumbai Indians","bat","normal",0,"Chennai Super Kings",0,7,"ML Hayden","St George's Park"
163,2009,"Johannesburg","2009-05-16","Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,6,"RG Sharma","New Wanderers Stadium"
164,2009,"Johannesburg","2009-05-17","Kings XI Punjab","Deccan Chargers","Deccan Chargers","field","normal",0,"Kings XI Punjab",1,0,"Yuvraj Singh","New Wanderers Stadium"
165,2009,"Bloemfontein","2009-05-17","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",14,0,"AB de Villiers","OUTsurance Oval"
166,2009,"Centurion","2009-05-18","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Kolkata Knight Riders",0,7,"BJ Hodge","SuperSport Park"
167,2009,"Johannesburg","2009-05-19","Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils","bat","normal",0,"Royal Challengers Bangalore",0,7,"JH Kallis","New Wanderers Stadium"
168,2009,"Durban","2009-05-20","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,4,"LR Shukla","Kingsmead"
169,2009,"Durban","2009-05-20","Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",24,0,"M Muralitharan","Kingsmead"
170,2009,"Centurion","2009-05-21","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,4,"V Sehwag","SuperSport Park"
171,2009,"Centurion","2009-05-21","Royal Challengers Bangalore","Deccan Chargers","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",12,0,"MK Pandey","SuperSport Park"
172,2009,"Centurion","2009-05-22","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,6,"AC Gilchrist","SuperSport Park"
173,2009,"Johannesburg","2009-05-23","Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,6,"MK Pandey","New Wanderers Stadium"
174,2009,"Johannesburg","2009-05-24","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Deccan Chargers",6,0,"A Kumble","New Wanderers Stadium"
175,2010,"Mumbai","2010-03-12","Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","field","normal",0,"Kolkata Knight Riders",11,0,"AD Mathews","Dr DY Patil Sports Academy"
176,2010,"Mumbai","2010-03-13","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","normal",0,"Mumbai Indians",4,0,"YK Pathan","Brabourne Stadium"
177,2010,"Chandigarh","2010-03-13","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,5,"G Gambhir","Punjab Cricket Association Stadium, Mohali"
178,2010,"Kolkata","2010-03-14","Royal Challengers Bangalore","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"MK Tiwary","Eden Gardens"
179,2010,"Chennai","2010-03-14","Deccan Chargers","Chennai Super Kings","Deccan Chargers","bat","normal",0,"Deccan Chargers",31,0,"WPUJC Vaas","MA Chidambaram Stadium, Chepauk"
180,2010,"Ahmedabad","2010-03-15","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,6,"V Sehwag","Sardar Patel Stadium, Motera"
181,2010,"Bangalore","2010-03-16","Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","normal",0,"Royal Challengers Bangalore",0,8,"JH Kallis","M Chinnaswamy Stadium"
182,2010,"Kolkata","2010-03-16","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",55,0,"MS Dhoni","Eden Gardens"
183,2010,"Delhi","2010-03-17","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",98,0,"SR Tendulkar","Feroz Shah Kotla"
184,2010,"Bangalore","2010-03-18","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,10,"JH Kallis","M Chinnaswamy Stadium"
185,2010,"Delhi","2010-03-19","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","bat","normal",0,"Chennai Super Kings",0,5,"ML Hayden","Feroz Shah Kotla"
186,2010,"Cuttack","2010-03-19","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Deccan Chargers",6,0,"A Symonds","Barabati Stadium"
187,2010,"Ahmedabad","2010-03-20","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",34,0,"AA Jhunjhunwala","Sardar Patel Stadium, Motera"
188,2010,"Mumbai","2010-03-20","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Royal Challengers Bangalore",0,7,"JH Kallis","Brabourne Stadium"
189,2010,"Cuttack","2010-03-21","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Deccan Chargers",10,0,"A Symonds","Barabati Stadium"
190,2010,"Chennai","2010-03-21","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","tie",0,"Kings XI Punjab",0,0,"J Theron","MA Chidambaram Stadium, Chepauk"
191,2010,"Mumbai","2010-03-22","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","normal",0,"Mumbai Indians",0,7,"SR Tendulkar","Brabourne Stadium"
192,2010,"Bangalore","2010-03-23","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Royal Challengers Bangalore",36,0,"RV Uthappa","M Chinnaswamy Stadium"
193,2010,"Chandigarh","2010-03-24","Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Rajasthan Royals",31,0,"AC Voges","Punjab Cricket Association Stadium, Mohali"
194,2010,"Mumbai","2010-03-25","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"SR Tendulkar","Brabourne Stadium"
195,2010,"Ahmedabad","2010-03-26","Deccan Chargers","Rajasthan Royals","Deccan Chargers","bat","normal",0,"Rajasthan Royals",0,8,"YK Pathan","Sardar Patel Stadium, Motera"
196,2010,"Chandigarh","2010-03-27","Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",39,0,"MK Tiwary","Punjab Cricket Association Stadium, Mohali"
197,2010,"Bangalore","2010-03-25","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Delhi Daredevils",17,0,"KM Jadhav","M Chinnaswamy Stadium"
198,2010,"Ahmedabad","2010-03-28","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",17,0,"NV Ojha","Sardar Patel Stadium, Motera"
199,2010,"Mumbai","2010-03-28","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal",0,"Mumbai Indians",41,0,"Harbhajan Singh","Dr DY Patil Sports Academy"
200,2010,"Delhi","2010-03-29","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",40,0,"DA Warner","Feroz Shah Kotla"
201,2010,"Mumbai","2010-03-30","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"SL Malinga","Brabourne Stadium"
202,2010,"Chennai","2010-03-31","Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore","bat","normal",0,"Chennai Super Kings",0,5,"M Vijay","MA Chidambaram Stadium, Chepauk"
203,2010,"Delhi","2010-03-31","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",67,0,"KD Karthik","Feroz Shah Kotla"
204,2010,"Kolkata","2010-04-01","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",24,0,"SC Ganguly","Eden Gardens"
205,2010,"Chandigarh","2010-04-02","Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","normal",0,"Royal Challengers Bangalore",0,6,"KP Pietersen","Punjab Cricket Association Stadium, Mohali"
206,2010,"Chennai","2010-04-03","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",23,0,"M Vijay","MA Chidambaram Stadium, Chepauk"
207,2010,"Mumbai","2010-04-03","Mumbai Indians","Deccan Chargers","Mumbai Indians","bat","normal",0,"Mumbai Indians",63,0,"AT Rayudu","Brabourne Stadium"
208,2010,"Kolkata","2010-04-04","Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders","bat","normal",0,"Kings XI Punjab",0,8,"DPMD Jayawardene","Eden Gardens"
209,2010,"Delhi","2010-04-04","Delhi Daredevils","Royal Challengers Bangalore","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",37,0,"PD Collingwood","Feroz Shah Kotla"
210,2010,"Nagpur","2010-04-05","Rajasthan Royals","Deccan Chargers","Rajasthan Royals","bat","normal",0,"Rajasthan Royals",2,0,"SK Warne","Vidarbha Cricket Association Stadium, Jamtha"
211,2010,"Chennai","2010-04-06","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",24,0,"SK Raina","MA Chidambaram Stadium, Chepauk"
212,2010,"Jaipur","2010-04-07","Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","bat","normal",0,"Rajasthan Royals",0,9,"MJ Lumb","Sawai Mansingh Stadium"
213,2010,"Kolkata","2010-04-07","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",14,0,"SC Ganguly","Eden Gardens"
214,2010,"Bangalore","2010-04-08","Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,7,"TL Suman","M Chinnaswamy Stadium"
215,2010,"Chandigarh","2010-04-09","Mumbai Indians","Kings XI Punjab","Mumbai Indians","bat","normal",0,"Kings XI Punjab",0,6,"KC Sangakkara","Punjab Cricket Association Stadium, Mohali"
216,2010,"Nagpur","2010-04-10","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Deccan Chargers",0,6,"RJ Harris","Vidarbha Cricket Association Stadium, Jamtha"
217,2010,"Bangalore","2010-04-10","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,7,"R Vinay Kumar","M Chinnaswamy Stadium"
218,2010,"Delhi","2010-04-11","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal",0,"Kings XI Punjab",0,7,"PP Chawla","Feroz Shah Kotla"
219,2010,"Jaipur","2010-04-11","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Mumbai Indians",37,0,"SR Tendulkar","Sawai Mansingh Stadium"
220,2010,"Nagpur","2010-04-12","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Deccan Chargers",13,0,"Harmeet Singh","Vidarbha Cricket Association Stadium, Jamtha"
221,2010,"Mumbai","2010-04-13","Mumbai Indians","Delhi Daredevils","Mumbai Indians","bat","normal",0,"Mumbai Indians",39,0,"KA Pollard","Brabourne Stadium"
222,2010,"Chennai","2010-04-13","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal",0,"Chennai Super Kings",0,9,"R Ashwin","MA Chidambaram Stadium, Chepauk"
223,2010,"Jaipur","2010-04-14","Rajasthan Royals","Royal Challengers Bangalore","Rajasthan Royals","bat","normal",0,"Royal Challengers Bangalore",0,5,"KP Pietersen","Sawai Mansingh Stadium"
224,2010,"Chennai","2010-04-15","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Delhi Daredevils",0,6,"G Gambhir","MA Chidambaram Stadium, Chepauk"
225,2010,"Dharamsala","2010-04-16","Kings XI Punjab","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,5,"RG Sharma","Himachal Pradesh Cricket Association Stadium"
226,2010,"Bangalore","2010-04-17","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Mumbai Indians",57,0,"R McLaren","M Chinnaswamy Stadium"
227,2010,"Kolkata","2010-04-17","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal",0,"Kolkata Knight Riders",0,8,"JD Unadkat","Eden Gardens"
228,2010,"Dharamsala","2010-04-18","Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,6,"MS Dhoni","Himachal Pradesh Cricket Association Stadium"
229,2010,"Delhi","2010-04-18","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Deccan Chargers",11,0,"A Symonds","Feroz Shah Kotla"
230,2010,"Kolkata","2010-04-19","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Kolkata Knight Riders",0,9,"M Kartik","Eden Gardens"
231,2010,"Mumbai","2010-04-21","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Mumbai Indians",35,0,"KA Pollard","Dr DY Patil Sports Academy"
232,2010,"Mumbai","2010-04-22","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",38,0,"DE Bollinger","Dr DY Patil Sports Academy"
233,2010,"Mumbai","2010-04-24","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal",0,"Royal Challengers Bangalore",0,9,"A Kumble","Dr DY Patil Sports Academy"
234,2010,"Mumbai","2010-04-25","Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",22,0,"SK Raina","Dr DY Patil Sports Academy"
235,2011,"Chennai","2011-04-08","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",2,0,"S Anirudha","MA Chidambaram Stadium, Chepauk"
236,2011,"Hyderabad","2011-04-09","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"SK Trivedi","Rajiv Gandhi International Stadium, Uppal"
237,2011,"Kochi","2011-04-09","Kochi Tuskers Kerala","Royal Challengers Bangalore","Kochi Tuskers Kerala","bat","normal",0,"Royal Challengers Bangalore",0,6,"AB de Villiers","Nehru Stadium"
238,2011,"Delhi","2011-04-10","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","bat","normal",0,"Mumbai Indians",0,8,"SL Malinga","Feroz Shah Kotla"
239,2011,"Mumbai","2011-04-10","Kings XI Punjab","Pune Warriors","Kings XI Punjab","bat","normal",0,"Pune Warriors",0,7,"SB Wagh","Dr DY Patil Sports Academy"
240,2011,"Kolkata","2011-04-11","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",9,0,"JH Kallis","Eden Gardens"
241,2011,"Jaipur","2011-04-12","Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Rajasthan Royals",0,6,"SK Warne","Sawai Mansingh Stadium"
242,2011,"Bangalore","2011-04-12","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,9,"SR Tendulkar","M Chinnaswamy Stadium"
243,2011,"Chandigarh","2011-04-13","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"PC Valthaty","Punjab Cricket Association Stadium, Mohali"
244,2011,"Mumbai","2011-04-13","Kochi Tuskers Kerala","Pune Warriors","Kochi Tuskers Kerala","bat","normal",0,"Pune Warriors",0,4,"MD Mishra","Dr DY Patil Sports Academy"
245,2011,"Hyderabad","2011-04-14","Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Deccan Chargers",33,0,"DW Steyn","Rajiv Gandhi International Stadium, Uppal"
246,2011,"Jaipur","2011-04-15","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,9,"G Gambhir","Sawai Mansingh Stadium"
247,2011,"Mumbai","2011-04-15","Mumbai Indians","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,8,"BB McCullum","Wankhede Stadium"
248,2011,"Chennai","2011-04-16","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",21,0,"MEK Hussey","MA Chidambaram Stadium, Chepauk"
249,2011,"Hyderabad","2011-04-16","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,8,"PC Valthaty","Rajiv Gandhi International Stadium, Uppal"
250,2011,"Mumbai","2011-04-17","Pune Warriors","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,3,"Yuvraj Singh","Dr DY Patil Sports Academy"
251,2011,"Kolkata","2011-04-17","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"L Balaji","Eden Gardens"
252,2011,"Kochi","2011-04-18","Chennai Super Kings","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",1,"Kochi Tuskers Kerala",0,7,"BB McCullum","Nehru Stadium"
253,2011,"Delhi","2011-04-19","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Deccan Chargers",16,0,"S Sohal","Feroz Shah Kotla"
254,2011,"Mumbai","2011-04-20","Pune Warriors","Mumbai Indians","Pune Warriors","bat","normal",0,"Mumbai Indians",0,7,"MM Patel","Wankhede Stadium"
255,2011,"Kolkata","2011-04-20","Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kochi Tuskers Kerala",6,0,"DPMD Jayawardene","Eden Gardens"
256,2011,"Chandigarh","2011-04-21","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Kings XI Punjab",48,0,"SE Marsh","Punjab Cricket Association Stadium, Mohali"
257,2011,"Mumbai","2011-04-22","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Mumbai Indians",8,0,"Harbhajan Singh","Wankhede Stadium"
258,2011,"Kolkata","2011-04-22","Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"CH Gayle","Eden Gardens"
259,2011,"Delhi","2011-04-23","Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Delhi Daredevils",29,0,"DA Warner","Feroz Shah Kotla"
260,2011,"Hyderabad","2011-04-24","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal",0,"Mumbai Indians",37,0,"SL Malinga","Rajiv Gandhi International Stadium, Uppal"
261,2011,"Jaipur","2011-04-24","Kochi Tuskers Kerala","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"SK Warne","Sawai Mansingh Stadium"
262,2011,"Chennai","2011-04-25","Chennai Super Kings","Pune Warriors","Pune Warriors","field","normal",0,"Chennai Super Kings",25,0,"MEK Hussey","MA Chidambaram Stadium, Chepauk"
263,2011,"Delhi","2011-04-26","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,3,"V Kohli","Feroz Shah Kotla"
264,2011,"Mumbai","2011-04-27","Pune Warriors","Chennai Super Kings","Pune Warriors","bat","normal",0,"Chennai Super Kings",0,8,"DE Bollinger","Dr DY Patil Sports Academy"
265,2011,"Kochi","2011-04-27","Deccan Chargers","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Deccan Chargers",55,0,"I Sharma","Nehru Stadium"
266,2011,"Delhi","2011-04-28","Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Kolkata Knight Riders",17,0,"MK Tiwary","Feroz Shah Kotla"
267,2011,"Jaipur","2011-04-29","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,7,"J Botha","Sawai Mansingh Stadium"
268,2011,"Bangalore","2011-04-29","Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","normal",0,"Royal Challengers Bangalore",26,0,"V Kohli","M Chinnaswamy Stadium"
269,2011,"Kochi","2011-04-30","Delhi Daredevils","Kochi Tuskers Kerala","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",38,0,"V Sehwag","Nehru Stadium"
270,2011,"Kolkata","2011-04-30","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"Iqbal Abdulla","Eden Gardens"
271,2011,"Jaipur","2011-05-01","Pune Warriors","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"LRPL Taylor","Sawai Mansingh Stadium"
272,2011,"Chennai","2011-05-01","Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",19,0,"JA Morkel","MA Chidambaram Stadium, Chepauk"
273,2011,"Mumbai","2011-05-02","Mumbai Indians","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Mumbai Indians",23,0,"KA Pollard","Wankhede Stadium"
274,2011,"Delhi","2011-05-02","Delhi Daredevils","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,7,"P Parameswaran","Feroz Shah Kotla"
275,2011,"Hyderabad","2011-05-03","Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","field","normal",0,"Kolkata Knight Riders",20,0,"YK Pathan","Rajiv Gandhi International Stadium, Uppal"
276,2011,"Chennai","2011-05-04","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,8,"MEK Hussey","MA Chidambaram Stadium, Chepauk"
277,2011,"Mumbai","2011-05-04","Mumbai Indians","Pune Warriors","Pune Warriors","field","normal",0,"Mumbai Indians",21,0,"R Sharma","Dr DY Patil Sports Academy"
278,2011,"Kochi","2011-05-05","Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kochi Tuskers Kerala",17,0,"BJ Hodge","Nehru Stadium"
279,2011,"Hyderabad","2011-05-05","Deccan Chargers","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,4,"V Sehwag","Rajiv Gandhi International Stadium, Uppal"
280,2011,"Bangalore","2011-05-06","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Royal Challengers Bangalore",85,0,"CH Gayle","M Chinnaswamy Stadium"
281,2011,"Kolkata","2011-05-07","Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",1,"Kolkata Knight Riders",10,0,"Iqbal Abdulla","Eden Gardens"
282,2011,"Mumbai","2011-05-07","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",32,0,"AT Rayudu","Wankhede Stadium"
283,2011,"Bangalore","2011-05-08","Kochi Tuskers Kerala","Royal Challengers Bangalore","Kochi Tuskers Kerala","bat","normal",0,"Royal Challengers Bangalore",0,9,"CH Gayle","M Chinnaswamy Stadium"
284,2011,"Chandigarh","2011-05-08","Kings XI Punjab","Pune Warriors","Kings XI Punjab","bat","normal",0,"Pune Warriors",0,5,"R Sharma","Punjab Cricket Association Stadium, Mohali"
285,2011,"Jaipur","2011-05-09","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Chennai Super Kings",63,0,"M Vijay","Sawai Mansingh Stadium"
286,2011,"Hyderabad","2011-05-10","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","normal",0,"Pune Warriors",0,6,"MR Marsh","Rajiv Gandhi International Stadium, Uppal"
287,2011,"Chandigarh","2011-05-10","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",76,0,"BA Bhatt","Punjab Cricket Association Stadium, Mohali"
288,2011,"Jaipur","2011-05-11","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"S Aravind","Sawai Mansingh Stadium"
289,2011,"Chennai","2011-05-12","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",18,0,"MS Dhoni","MA Chidambaram Stadium, Chepauk"
